UC_ID,UC_Name,Actor,Controller,HTTP_Method,Endpoint,Status,Priority
UC1,Đăng ký tài khoản,Khách hàng,AuthController,POST,/api/auth/register-customer,✅ Done,High
UC1.1,Gửi email xác thực,System,EmailVerificationService,(internal),(internal),✅ Done,High
UC2,Xác thực email,Khách hàng,AuthController,GET,/api/auth/verify-email?token=xxx,✅ Done,High
UC3,Gửi lại email xác thực,Khách hàng,AuthController,POST,/api/auth/resend-verification-email,✅ Done,Medium
UC4,Kiểm tra trạng thái xác thực,Khách hàng,AuthController,GET,/api/auth/verification-status/{userId},✅ Done,Medium
UC5,Đăng nhập,Khách hàng,AuthController,POST,/api/auth/login,✅ Done,High
UC6,Quản lý tài khoản cá nhân,Khách hàng,UserProfileController,GET/PUT,/api/users/profile,✅ Done,Medium
UC6.1,Xem thông tin,Khách hàng,UserProfileController,GET,/api/users/profile,✅ Done,Medium
UC6.2,Cập nhật thông tin,Khách hàng,UserProfileController,PUT,/api/users/profile,✅ Done,Medium
UC6.3,Đổi mật khẩu,Khách hàng,UserProfileController,POST,/api/users/change-password,✅ Done,Medium
UC9,Tìm kiếm sản phẩm,Khách hàng,CatalogController,GET,/api/catalog/san-pham/search,✅ Done,High
UC10,Xem danh sách danh mục,Khách hàng,CatalogController,GET,/api/catalog/danh-muc,✅ Done,Medium
UC11,Xem danh sách thương hiệu,Khách hàng,CatalogController,GET,/api/catalog/thuong-hieu,✅ Done,Medium
UC12,Xem chi tiết sản phẩm,Khách hàng,SanPhamController,GET,/api/san-pham/{id},✅ Done,High
UC13,Xem sản phẩm liên quan,Khách hàng,SanPhamController,GET,/api/san-pham/{id}/related,✅ Done,Low
UC14,Xem đánh giá sản phẩm,Khách hàng,ReviewController,GET,/api/reviews/product/{productId},✅ Done,Medium
UC15,Quản lý giỏ hàng,Khách hàng,CartController,GET,/api/cart/dto?userId=xxx,✅ Done,High
UC16,Thêm sản phẩm vào giỏ,Khách hàng,CartController,POST,/api/cart/items,✅ Done,High
UC17,Cập nhật số lượng trong giỏ,Khách hàng,CartController,PUT,/api/cart/items,✅ Done,High
UC18,Xóa sản phẩm khỏi giỏ,Khách hàng,CartController,DELETE,/api/cart/items,✅ Done,Medium
UC19,Xóa toàn bộ giỏ hàng,Khách hàng,CartController,DELETE,/api/cart,✅ Done,Low
UC20,Đặt hàng (Checkout),Khách hàng,DatHangController,POST,/api/dat-hang,✅ Done,High
UC21,Thanh toán PayOS,Khách hàng,PaymentController,POST,/api/payment/create-link,✅ Done,High
UC21.1,Webhook xác nhận,PayOS System,PaymentController,POST,/api/payment/payos-webhook,✅ Done,High
UC21.2,Polling kiểm tra,Khách hàng,PaymentController,GET,/api/payment/check-status/{orderId},✅ Done,High
UC22,Cập nhật trạng thái thanh toán,Admin,DatHangController,POST,/api/don-hang/{id}/thanh-toan,✅ Done,Medium
UC23,Xem lịch sử đơn hàng,Khách hàng,DonHangController,GET,/api/don-hang/history,✅ Done,High
UC24,Xem chi tiết đơn hàng,Khách hàng,DonHangController,GET,/api/don-hang/{id},✅ Done,High
UC25,Hủy đơn hàng,Khách hàng,DatHangController,POST,/api/don-hang/{id}/huy/khach,✅ Done,High
UC26,Tra cứu theo mã vận đơn,Khách hàng,DonHangController,GET,/api/don-hang/tracking/{maVanDon},✅ Done,Medium
UC27,Kiểm tra trạng thái đổi trả,Khách hàng,DoiTraController,GET,/api/doi-tra/kiem-tra,✅ Done,Medium
UC28,Tạo yêu cầu đổi trả,Khách hàng,DoiTraController,POST,/api/doi-tra,✅ Done,High
UC29,Xem chi tiết phiếu đổi trả,Khách hàng,DoiTraController,GET,/api/doi-tra/{id},✅ Done,Medium
UC30,Viết đánh giá sản phẩm,Khách hàng,ReviewController,POST,/api/reviews,✅ Done,Medium
UC31,Xem đánh giá của mình,Khách hàng,ReviewController,GET,/api/reviews/user/{userId},✅ Done,Low
UC32,Xem chiến dịch KM active,Khách hàng,CampaignController,GET,/api/public/campaigns/active,✅ Done,Medium
UC33,Xem danh sách sản phẩm,Admin,SanPhamController,GET,/api/san-pham,✅ Done,High
UC34,Tạo sản phẩm mới,Admin,SanPhamController,POST,/api/san-pham,✅ Done,High
UC35,Cập nhật sản phẩm,Admin,SanPhamController,PUT,/api/san-pham/{id},✅ Done,High
UC36,Xóa sản phẩm,Admin,SanPhamController,DELETE,/api/san-pham/{id},✅ Done,Medium
UC37,Quản lý danh mục (CRUD),Admin,DanhMucController,GET/POST/PUT/DELETE,/api/admin/danh-muc,✅ Done,Medium
UC38,Quản lý thương hiệu (CRUD),Admin,ThuongHieuController,GET/POST/PUT/DELETE,/api/admin/thuong-hieu,✅ Done,Medium
UC39,Xem danh sách đơn hàng,Admin,DonHangController,GET,/api/admin/don-hang,✅ Done,High
UC40,Xem chi tiết đơn hàng,Admin,DonHangController,GET,/api/admin/don-hang/{id},✅ Done,High
UC41,Xác nhận đơn hàng,Admin,DonHangController,POST,/api/admin/don-hang/{id}/confirm,✅ Done,Critical
UC42,Giao hàng (Ship),Admin,DonHangController,POST,/api/admin/don-hang/{id}/ship,✅ Done,High
UC43,Cập nhật mã vận đơn,Admin,DonHangController,POST,/api/admin/don-hang/{id}/tracking,✅ Done,Medium
UC44,Hoàn thành đơn hàng,Admin,DonHangController,POST,/api/admin/don-hang/{id}/complete,✅ Done,High
UC45,Hủy đơn hàng,Admin,DonHangController,POST,/api/admin/don-hang/{id}/cancel,✅ Done,High
UC46,Đánh dấu đã hoàn tiền,Admin,DonHangController,POST,/api/admin/don-hang/{id}/refund,✅ Done,Medium
UC47,Xem Pick List FEFO,Admin,FEFOService,(Frontend),PickListDisplay.jsx,✅ Done,High
